Designator,Mid X,Mid Y,Rotation,Layer
C1,96.814,-70.762,270.0,top
C10,79.375,-131.191,0.0,top
C11,113.705,-100.16,180.0,top
C12,105.029,-108.011,90.0,top
C13,108.498,-107.968,90.0,top
C2,90.718,-70.884,270.0,top
C3,114.046,-62.545,90.0,top
C4,105.577,-97.822,270.0,top
C5,103.965,-69.342,0.0,top
C6,85.13,-70.884,270.0,top
C7,81.193,-96.284,270.0,top
C8,75.097,-96.284,90.0,top
C9,75.097,-104.925,90.0,top
D1,121.92,-83.344,90.0,top
D10,91.821,-57.658,90.0,top
D11,100.584,-57.658,90.0,top
D12,109.093,-57.531,90.0,top
D13,107.061,-116.84,180.0,top
D2,131.064,-83.185,90.0,top
D3,75.438,-82.296,180.0,top
D4,75.6775,-88.562,180.0,top
D5,69.088,-98.1455,270.0,top
D9,83.439,-57.6835,90.0,top
F1,125.135,-53.848,180.0,top
IC1,84.627,-82.391,0.0,top
J2,126.5125,-67.818,270.0,top
Q1,96.057,-82.042,180.0,top
Q2,71.242,-109.746,270.0,top
Q3,68.41,-103.65,180.0,top
Q4,94.107,-127.0,180.0,top
R1,109.728,-74.93,180.0,top
R10,74.8665,-100.414,180.0,top
R11,72.342,-123.7395,270.0,top
R12,63.579,-114.8025,90.0,top
R13,63.452,-109.9765,90.0,top
R14,63.8095,-119.779,270.0,top
R15,72.342,-127.653,90.0,top
R16,63.706,-123.843,90.0,top
R17,72.342,-119.6285,270.0,top
R18,63.706,-127.7565,270.0,top
R19,72.342,-131.8675,270.0,top
R2,67.5805,-82.38,0.0,top
R20,63.706,-131.8205,270.0,top
R21,72.342,-114.5955,270.0,top
R22,87.6535,-67.31,180.0,top
R23,109.22,-62.484,270.0,top
R24,91.821,-62.7145,270.0,top
R25,100.584,-62.6345,270.0,top
R26,83.566,-62.611,270.0,top
R27,86.273,-112.479,270.0,top
R28,119.801,-122.512,90.0,top
R3,67.564,-88.519,0.0,top
R4,112.562,-69.172,270.0,top
R5,92.2185,-90.762,180.0,top
R6,81.193,-91.6745,270.0,top
R7,92.242,-96.477,180.0,top
R8,86.527,-91.8015,270.0,top
R9,80.177,-112.733,270.0,top
